"","Direcciones","lat","lon"
"232","AVENIDA DE ENTREVIAS NUM 78 MADRID",40.3796513,-3.6667267
"233","CALLE DE MEJIA LEQUERICA NUM 1 MADRID",40.4261998,-3.6977272
"234","CALLE DE ORENSE NUM 10 MADRID",40.4488335,-3.6950099
"235","CALLE DE CEA BERMUDEZ NUM 20 MADRID",40.4389457,-3.7078074
"236","CARRETERA DEL VERTEDERO MUNICIPAL VALDEMINGOMEZ NUM 10 MADRID",40.3566463,-3.5647463
"237","CALLE DE JOSE LUIS DE ARRESE NUM 38 MADRID",40.4218956,-3.6514127
"238","AVENIDA DE LA ALBUFERA NUM 35 MADRID",40.3968605,-3.6660266
"239","PASEO DE LA CASTELLANA NUM 213 MADRID",40.470495,-3.6890158
"240","CALLE DE LOPE DE RUEDA NUM 9 MADRID",40.423008,-3.6772825
"241","CALLE DE BAILEN NUM 4 MADRID",40.4184323,-3.713566
"242","AVENIDA DE CONCHA ESPINA NUM 32 MADRID",40.4520581,-3.6882201
"243","CALLE  VIA DE LOS POBLADOS NUM 9 MADRID",40.4750951,-3.632111
"244","CALLE DE FUENCARRAL NUM 156 MADRID",40.4330058,-3.7038892
"245","AVENIDA DE PABLO NERUDA NUM 72 MADRID",40.3860598,-3.646634
"246","CALLE DE LA VIDRIERIA NUM 2 MADRID",40.4274036,-3.61609
"247","AVENIDA DE NUESTRA SEÑORA DE FATIMA NUM 22 MADRID",40.385497,-3.7455087
"248","CALLE DE SAN EZEQUIEL NUM 1 MADRID",40.3334672,-3.7133312
"249","AVENIDA DE LOS MADROÑOS NUM 33 MADRID",40.45656,-3.6429587
"250","AVENIDA DE PORTUGAL NUM 95 MADRID",40.4133274,-3.7319456
"251","CALLE DE PALERMO NUM 52 MADRID",40.459038,-3.6465698
"252","GLORIETA DE RUIZ JIMENEZ NUM 1 MADRID",40.4293535,-3.7063049
"253","CALLE DE O'DONNELL NUM 9 MADRID",40.4216849,-3.6803955
"254","PASEO DE LA CASTELLANA NUM 138 MADRID",40.451461,-3.6900597
"255","CALLE DE GOYA NUM 66 MADRID",40.4247022,-3.677044
"256","CALLE  GRAN VIA NUM 28 MADRID",40.4204381,-3.7017506
"257","PASEO DE LAS DELICIAS NUM 125 MADRID",40.3927535,-3.6945366
"258","CALLE DE NICOLAS USERA NUM 65 MADRID",40.3837611,-3.7052192
"259","CALLE  30  NL KM. 15900 MADRID",40.3917495,-3.6748806
"260","CARRETERA DE CARABANCHEL A VILLAVERDE NUM 89 MADRID",40.3537237,-3.7103647
"261","GLORIETA DEL VALLE DE ORO NUM 12 MADRID",40.3881074,-3.7310479
"262","AVENIDA DE LA REINA VICTORIA NUM 21 MADRID",40.4468959,-3.7076376
"263","CALLE DE ESTOCOLMO NUM 55 MADRID",40.4298057,-3.6006933
"264","PASEO DE LA CASTELLANA NUM 151 MADRID",40.4607986,-3.6904977
"265","AVENIDA DE PIO XII NUM 48 MADRID",40.4689316,-3.6721607
"266","CALLE DE BIARRITZ NUM 3 MADRID",40.435802,-3.6643262
"267","CALLE DE LAS ISLAS CIES NUM 18 MADRID",40.4805803,-3.7191885
"268","CALLE DE LOS CHISPEROS NUM 4 MADRID",40.4047685,-3.7318419
"269","PASEO DE SANTA MARIA DE LA CABEZA NUM 3 MADRID",40.4067161,-3.6938033
"270","CALLE DE ARTURO SORIA NUM 71 MADRID",40.444907,-3.6470766
"271","CALLE DE NUESTRA SEÑORA DE VALVERDE NUM 120 MADRID",40.4973331,-3.6868282
"272","CALLE DE SAN FILIBERTO NUM 7 MADRID",40.3858219,-3.7151587
"273","AVENIDA DE LA DEMOCRACIA NUM 13 MADRID",40.3866439,-3.6237691
"274","CALLE DE FERMIN CABALLERO NUM 76 MADRID",40.4814819,-3.7149361
"275","AVENIDA DEL PLANETARIO NUM 4 MADRID",40.3944976,-3.6815975
"276","CALLE DE FERNANDEZ DE LOS RIOS NUM 87 MADRID",40.435257,-3.7162808
"277","CALLE DE LOS ANDALUCES NUM 24 MADRID",40.3899181,-3.6375081
"278","CALLE DE MENDEZ ALVARO NUM 70 MADRID",40.39475,-3.67993
"279","CALLE DE SANTA ADELA NUM 7 MADRID",40.4788444,-3.6481156
"280","CALLE DE JUAN JOSE MARTINEZ SECO NUM 34 MADRID",40.3515808,-3.6899194
"281","CALLE DEL GENERAL RICARDOS NUM 184 MADRID",40.3866686,-3.734818
"282","CALLE DE LA MADRE DE DIOS NUM 6 MADRID",40.4630683,-3.6741376
"283","AVENIDA DE VALLADOLID NUM 15 MADRID",40.4263817,-3.7277811
"284","AVENIDA DEL PADRE HUIDOBRO KM. 7000 MADRID",40.4640303,-3.781585
"285","CALLE DE FEDERICO GRASES NUM 20 MADRID",40.3770016,-3.7468912
"286","PASEO DEL PRADO NUM 8 MADRID",40.4160397,-3.6949425
"287","CALLE DE RAFAEL BERGAMIN NUM 6 MADRID",40.4477436,-3.6604623
"288","GLORIETA DEL VALLE DE ORO NUM 2 MADRID",40.388642,-3.7309063
"289","CALLE DE JOSE LUIS DE ARRESE NUM 59 MADRID",40.4207301,-3.653076
"290","CALLE DE HORTALEZA NUM 2 MADRID",40.4203186,-3.7009485
"291","CALLE DEL GENERAL LACY NUM 58 MADRID",40.4001791,-3.691367
"292","PLAZA DE LA MONCLOA NUM 1 MADRID",40.4353386,-3.7185718
"293","AVENIDA DE CANILLEJAS A VICALVARO NUM 179 MADRID",40.4189643,-3.6108317
"294","CALLE DE SAN ROMUALDO NUM 14 MADRID",40.4409666,-3.6234445
"295","CALLE DE LA CAMPIÑA NUM 4 MADRID",40.3794732,-3.670936
"296","CALLE  30   14RH KM. 90 MADRID",40.3917495,-3.6748806
"297","AVENIDA DE MENENDEZ PELAYO NUM 27 MADRID",40.4188814,-3.678776
"298","GLORIETA DE SANTA MARIA DE LA CABEZA NUM 7 MADRID",40.40048,-3.69875
"299","CALLE DE LA GAVIOTA NUM 20 MADRID",40.3883821,-3.7347619
"300","CALLE DE SIERRA TOLEDANA NUM 7 MADRID",40.4003724,-3.6609356
"301","CAÑADA  REAL GALIANA NUM 23 MADRID",40.3844929,-3.5461262
"302","CALLE DE EMILIO MUÑOZ NUM 21 MADRID",40.4319704,-3.6287068
"303","CALLE DEL COCHERON DE LA VILLA NUM 1 MADRID",40.3820348,-3.631311
"304","AVENIDA DE LA VICTORIA NUM 23 MADRID",40.4666594,-3.8124875
"305","CALLE DE SILVANO NUM 80 MADRID",40.4617807,-3.6394059
"306","CALLE DEL ARROYO FONTARRON NUM 24 MADRID",40.3951243,-3.6335804
"307","CALLE DE SERRANO NUM 85 MADRID",40.4366852,-3.6865791
"308","PASEO DE EXTREMADURA NUM 159 MADRID",40.408283,-3.7424992
"309","CUESTA DE SAN VICENTE NUM 3 MADRID",40.4211673,-3.714677
"310","CALLE DE OCHANDIANO NUM 2 MADRID",40.4678872,-3.8164534
"311","AEROPUERTO Terminal T - 4 MADRID",40.49218,-3.59316
"312","CALLE DE VELAZQUEZ NUM 59 MADRID",40.4290288,-3.6841534
"313","CALLE DE BRAVO MURILLO NUM 68 MADRID",40.4442057,-3.7038209
"314","CALLE DE RAFAEL BOTI NUM 2 MADRID",40.4629008,-3.8030954
